pert_name,cluster
CWC15,5
CWC22,5
CWC25,5
CWF19L2,5
CXXC1,10
CYC1,7
CYCS,7
CYFIP1,1
CYREN,15
DAD1,12
DAP3,7
DARS,6
DAXX,1
DBF4,2
DBR1,5
DCAF6,2
DCLRE1B,11
DCTN1,11
DCTN2,15
DCTN3,15
DCTN4,8
DCTN5,3
DCTN6,15
DCUN1D5,5
DDOST,12
DDX1,6
DDX10,8
DDX11,1
DDX17,1
DDX18,8
DDX19A,2
DDX19B,2
DDX20,5
DDX21,8
DDX23,5
DDX24,8
DDX27,8
DDX3X,1
DDX41,5
DDX42,11
DDX49,8
DDX5,11
DDX51,8
DDX52,8
DDX55,8
DDX56,8
DDX59,11
DDX6,5
DENR,6
DEPDC5,8
DERL2,6
DESI1,11
DGCR8,10
DHDDS,6
DHODH,2
DHPS,3
DHX15,5
DHX16,5
DHX29,8
DHX33,8
DHX36,10
DHX37,8
DHX9,11
DICER1,10
DIMT1,8
DIS3,10
DKC1,8
DLD,8
DMAP1,8
DNAJA1,3
DNAJA3,7
DNAJC11,13
DNAJC17,5
DNAJC19,7
DNAJC8,1
DNAJC9,13
DNM1,2
DNM1L,7
DNM2,8
DNMT1,15
DNTTIP2,8
DOHH,3
DOLK,1
DONSON,15
DPAGT1,6
DPH2,7
DPH3,6
DPH6,13
DPM2,3
DPY19L4,11
DR1,11
DRAP1,12
DRG1,3
DROSHA,10
DSN1,8
DSTYK,1
DTL,15
DTYMK,13
DUT,15
DYNC1H1,8
DYNC1I2,8
DYNLL1,14
DYNLL2,11
E2F6,2
E4F1,11
EARS2,8
EBNA1BP2,8
ECD,5
ECT2,8
EDC4,8
EEF1B2,7
EEF1G,6
EEFSEC,9
EFR3A,2
EFTUD2,5
EGLN2,12
EHMT2,10
EIF1,2
EIF1AD,8
EIF1AX,6
EIF2B1,6
EIF2B2,6
EIF2B3,6
EIF2B4,6
EIF2B5,6
EIF2S1,6
EIF2S2,6
EIF2S3,6
EIF3A,6
EIF3B,6
EIF3D,6
EIF3E,6
EIF3G,6
EIF3H,6
EIF3I,6
EIF3J,6
EIF3L,6
EIF3M,6
EIF4A1,6
EIF4A3,6
EIF4B,7
EIF4E,6
EIF4G1,7
EIF4G2,6
EIF4H,11
EIF5A,5
EIF6,8
ELAC2,7
ELL,10
ELOB,8
ELOF1,14
ELOVL1,13
ELP2,6
ELP3,6
ELP4,6
ELP5,6
ELP6,6
EMC1,8
EMC4,15
EMC7,12
EMG1,8
ENO1,7
ENY2,14
EP400,8
EPB41L2,1
EPRS,6
ERAL1,3
ERCC2,3
ERCC3,3
ESF1,8
ESYT2,7
ETF1,6
EWSR1,13
EXOC1,13
EXOC2,14
EXOC3,15
EXOC4,15
EXOC5,11
EXOC7,8
EXOC8,2
EXOSC1,1
EXOSC10,8
EXOSC2,10
EXOSC3,10
EXOSC4,10
EXOSC5,10
EXOSC6,10
EXOSC7,10
EXOSC8,10
EXOSC9,10
F8A1,11
FAF2,1
FAM102B,10
FAM133B,11
FAM136A,10
FAM207A,1
FAM32A,5
FAM50A,6
FARS2,12
FARSA,6
FARSB,6
FASN,1
FASTKD5,7
FAU,8
FBL,8
FBLIM1,2
FBXO42,1
FBXW7,3
FCF1,8
FDPS,13
FDXR,3
FEN1,12
FGFR1OP,11
FKBP9,15
FNBP4,11
FNTA,6
FOXL2,13
FOXO1,2
FTSJ3,8
FUNDC2,10
FXN,6
FYN,13
GABPA,8
GABPB1,11
GAK,11
GAR1,8
GARS,6
GART,5
GATA1,8
GBF1,6
GCLC,2
GEMIN4,5
GEMIN5,5
GEMIN6,3
GEMIN7,5
GEMIN8,3
GET3,13
GFER,6
GFM1,4
GFOD2,8
GGPS1,13
GINS1,8
GINS2,8
GINS3,15
GINS4,8
GLB1,8
GLE1,5
GLI4,2
GLMN,9
GLRX3,13
GLRX5,2
GMIP,13
GMPPB,12
GMPS,8
GNB1L,13
GNL2,8
GNL3,8
GNL3L,6
GNPAT,8
GNPNAT1,12
GOLT1B,15
GOSR2,11
GPKOW,5
GPN1,10
GPN2,10
GPN3,10
GPS1,8
GPS2,11
GRPEL1,6
GRSF1,7
GRWD1,1
GSK3B,1
GSPT1,6
GTF2A1,10
GTF2A2,9
GTF2B,10
GTF2E1,10
GTF2E2,10
GTF2F1,3
GTF2F2,10
GTF2H1,10
GTF2H2,3
GTF2H2C,3
GTF2H3,3
GTF2H4,3
GTF3A,6
GTF3C1,6
GTF3C2,6
GTF3C3,6
GTF3C4,11
GTF3C5,7
GTF3C6,11
GTPBP4,8
GUCD1,5
GUK1,11
GYG1,9
H2AFX,13
H2AFZ,11
H3F3A,13
HAMP,8
HARS,6
HARS2,6
HAUS1,15
HAUS3,11
HAUS4,15
HAUS5,15
HAUS6,11
HAUS8,15
HBS1L,6
HDAC3,7
HDAC7,8
HEATR1,8
HECTD1,11
HERC1,8
HEXIM1,3
HGS,6
HHEX,2
HINFP,8
HIPK1,14
HIST1H2AE,13
HIST1H2BC,2
HIST1H2BJ,13
HIST1H2BN,1
HJURP,15
HLA-C,12
HMBOX1,3
HMGA1,12
HMGB3,4
HMGCR,10
HMGCS1,15
HMGN2,11
HMX3,11
HNRNPA1,1
HNRNPC,5
HNRNPDL,8
HNRNPH1,3
HNRNPK,5
HNRNPL,11
HNRNPR,15
HNRNPU,3
HOXC10,13
HPS5,3
HS6ST1,13
HSCB,8
HSD17B10,7
HSD17B12,13
HSP90B1,13
HSPA14,8
HSPA5,6
HSPA8,8
HSPA9,6
HSPD1,6
HSPE1,6
HSPH1,3
HTATSF1,3
HUS1,12
HUWE1,11
HYOU1,6
IARS,6
IARS2,6
ICE1,5
IFITM2,13
IFITM3,11
IGBP1,8
ILF2,8
ILF3,5
IMP4,8
IMPA2,8
IMPDH2,8
INF2,1
ING3,2
INO80,10
INO80B,10
INO80C,12
INO80D,13
INO80E,13
INPPL1,11
INTS1,11
INTS10,9
INTS11,6
INTS12,12
INTS13,9
INTS14,9
INTS2,15
INTS3,5
INTS4,5
INTS5,15
INTS6,12
INTS7,15
INTS8,15
INTS9,5
IPO11,6
IPO13,6
IPO7,8
IPO9,11
ISCA2,7
ISCU,13
ISG20L2,8
IST1,12
ITGB1BP1,14
IWS1,11
JMJD6,12
KANSL1,3
KANSL2,3
KANSL3,3
KARS,6
KAT5,9
KAT7,9
KATNB1,13
KCMF1,11
KCTD10,3
KDM1A,13
KDM2A,1
KDM5C,6
KDM6A,3
KEAP1,11
KIAA0586,8
KIAA1143,13
KIF11,2
KIF14,13
KIF18A,11
KIF18B,8
KIF20A,8
KIF4A,8
KIN,5
KLC2,2
KLF7,14
KPNA6,15
KPNB1,8
KRI1,8
KRR1,8
KTI12,6
KXD1,9
LAMB1,8
LAMTOR1,15
LAMTOR2,15
LAMTOR3,15
LAMTOR4,15
LARS,6
LARS2,4
LAS1L,8
LDB1,3
LENG8,3
LEO1,14
LETM1,6
LIMS1,13
LIN52,8
LONP1,7
LPIN1,13
LRP5,8
LRPPRC,7
LRR1,14
LRRC37B,11
LSG1,8
LSM10,14
LSM12,7
LSM2,5
LSM3,5
LSM4,5
LSM5,5
LSM6,5
LSM7,5
LST1,13
LTBP3,2
LTBP4,12
LTV1,8
LUC7L3,11
LYRM4,8
LZTR1,11
MAD2L1,15
MAD2L2,12
MAGOH,11
MAK16,8
MALSU1,4
MANF,1
MAP2K7,8
MARS,6
MARS2,2
MASTL,11
MAT2A,11
MAU2,8
MAX,8
MBD3,12
MBIP,9
MBNL1,10
MBTPS1,7
MBTPS2,7
MCEE,8
MCL1,1
MCM10,15
MCM2,8
MCM3,15
MCM3AP,5
MCM4,15
MCM5,15
MCM6,15
MCM7,12
MCMBP,11
MDN1,6
MED1,10
MED10,10
MED11,10
MED12,10
MED14,10
MED16,10
MED17,10
MED18,9
MED19,10
MED20,10
MED21,10
MED22,8
MED24,9
MED26,9
MED27,10
MED28,8
MED29,10
MED30,10
MED31,10
MED4,10
MED6,10
MED7,10
MED8,10
MED9,10
MEN1,11
METAP1,8
METAP2,11
METTL1,11
METTL14,1
METTL16,11
METTL17,4
METTL21A,1
METTL23,12
METTL3,1
MEX3A,11
MFAP1,5
MFN2,6
MICOS10,13
MIOS,3
MIPEP,4
MIS12,11
MIS18A,8
MIS18BP1,8
MKRN1,13
MLLT6,15
MLST8,11
MMGT1,12
MMS19,11
MMS22L,8
MNAT1,10
MOB4,7
MOCS3,6
MON1A,1
MPG,8
MPHOSPH10,8
MPHOSPH6,15
MRGBP,14
MRM1,8
MRPL1,4
MRPL10,4
MRPL11,4
MRPL13,12
MRPL14,4
MRPL15,4
MRPL16,4
MRPL17,4
MRPL18,4
MRPL19,4
MRPL2,4
MRPL20,4
MRPL22,4
MRPL23,4
MRPL24,4
MRPL27,4
MRPL28,4
MRPL3,4
MRPL32,4
MRPL33,4
MRPL34,8
MRPL35,4
MRPL36,4
MRPL37,4
MRPL38,4
MRPL39,4
MRPL4,4
MRPL41,4
MRPL42,4
MRPL43,4
MRPL44,4
MRPL45,4
MRPL46,7
MRPL49,8
MRPL50,4
MRPL51,4
MRPL54,4
MRPL55,4
MRPL9,4
MRPS10,4
MRPS11,7
MRPS12,4
MRPS14,6
MRPS16,7
MRPS17,7
MRPS18A,4
MRPS18B,4
MRPS18C,4
MRPS2,4
MRPS21,4
MRPS22,6
MRPS23,4
MRPS24,7
MRPS25,7
MRPS26,7
MRPS27,4
MRPS28,4
MRPS30,4
MRPS31,7
MRPS33,7
MRPS34,6
MRPS35,4
MRPS5,4
MRPS6,7
MRPS7,4
MRPS9,4
MRTO4,8
MSL1,13
MSRB1,2
MST1,12
MT2A,1
MTBP,15
MTG2,4
MTHFD1,7
MTOR,7
MTPAP,7
MVD,4
MVK,15
MYBBP1A,8
MYBL2,7
MYC,8
MYCBP,12
MYSM1,10
MZF1,13
MZT1,1
N6AMT1,11
NAA10,15
NAA15,13
NAA20,11
NAA25,13
NAA30,1
NAA35,1
NAA50,15
NACA,8
NAE1,1
NAF1,8
NAGLU,1
NAPG,1
NARS,6
NARS2,4
NASP,1
NAT10,8
NBAS,15
NBEAL1,12
NCAPD2,12
NCAPD3,3
NCAPG,1
NCAPG2,8
NCAPH,8
NCAPH2,8
NCBP1,10
NCBP2,10
NCKAP1,11
NCOA4,13
NDC1,11
NDC80,15
NDUFA11,7
NDUFA2,5
NDUFA3,6
NDUFA4,7
NDUFA6,7
NDUFA8,11
NDUFAB1,6
NDUFAF3,13
NDUFAF5,8
NDUFAF7,8
NDUFB10,15
NDUFB3,7
NDUFB4,7
NDUFB6,6
NDUFB7,2
NDUFB8,7
NDUFS3,2
NDUFS5,11
NDUFV2,6
NEDD1,11
NEDD8,8
NELFA,10
NELFB,10
NELFCD,10
NELFE,10
NEMF,11
NEPRO,8
NF1,4
NFATC2IP,3
NFKBIE,11
NFRKB,10
NFS1,8
NFYB,8
NFYC,8
NHLRC2,1
NHP2,8
NIFK,8
NIP7,8
NISCH,12
NKAP,5
NKAPD1,11
NLE1,8
NMD3,8
NMT1,15
NOB1,8
NOC2L,8
NOC3L,8
NOC4L,8
NOL10,8
NOL11,8
NOL12,8
NOL6,8
NOL7,8
NOL8,8
NOL9,8
NOLC1,8
NOM1,8
NOMO1,11
NOP10,8
NOP14,8
NOP16,8
NOP2,8
NOP58,8
NOP9,8
NOS1AP,13
NPLOC4,6
NPM1,15
NPM3,1
NRBP1,11
NRDE2,5
NSA2,8
NSF,15
NSL1,15
NSMCE1,11
NSMCE2,12
NSRP1,5
NSUN4,4
NUB1,11
NUBP1,8
NUBP2,8
NUDC,8
NUDCD3,15
NUDT15,1
NUDT21,8
NUF2,8
NUFIP1,8
NUP107,5
NUP133,5
NUP153,5
NUP160,5
NUP205,5
NUP214,5
NUP35,15
NUP43,5
NUP54,5
NUP62,5
NUP85,5
NUP88,5
NUP98,5
NUTF2,5
NVL,8
OGFOD1,8
OGT,8
OIP5,13
OLFML3,14
OPA1,6
ORC1,5
ORC3,15
ORC4,12
ORC5,12
ORC6,8
OSGEP,6
OSTC,8
OXA1L,6
PABPC1,8
PABPC4,5
PABPN1,10
PAF1,10
PAFAH1B1,11
PAK1IP1,8
PALB2,11
PAM16,6
PARN,13
PARS2,4
PAXBP1,5
PCBP1,3
PCID2,14
PCM1,8
PCNA,8
PCNX3,3
PDAP1,6
PDCD11,8
PDCD2,8
PDCD5,8
PDCD6,2
PDCD6IP,1
PDCD7,14
PDHA1,8
PDPK1,15
PDRG1,10
PEF1,13
PELP1,8
PES1,8
PET117,9
PEX1,6
PEX19,8
PFDN1,13
PFDN2,10
PFDN4,1
PFDN5,8
PFDN6,9
PFN1,14
PGAM1,7
PGAM5,4
PGD,7
PGK1,3
PGPEP1,15
PGS1,6
PHB,6
PHB2,6
PHF10,8
PHF12,11
PHF5A,5
PI4KA,10
PIAS1,11
PIAS4,5
PIGH,8
PIK3C3,13
PIK3R4,12
PITRM1,11
PKMYT1,11
PLEKHN1,2
PLK1,8
PLK4,15
PLRG1,5
PMF1,8
PMPCA,6
PMPCB,6
PNKP,12
PNN,8
PNO1,8
PNPT1,7
POGLUT3,11
POGZ,11
POLA1,8
POLA2,8
POLD1,8
POLD2,8
POLD3,8
POLE,8
POLE2,12
POLG,13
POLG2,8
POLL,4
POLR1A,8
POLR1B,8
POLR1C,8
POLR1D,8
POLR1E,8
POLR2B,10
POLR2C,10
POLR2E,10
POLR2F,5
POLR2G,10
POLR2H,10
POLR2I,5
POLR2K,10
POLR2L,10
POLR2M,3
POLR3B,6
POLR3C,6
POLR3D,6
POLR3E,15
POLR3F,6
POLR3H,6
POLR3K,15
POLRMT,7
POP1,8
POP4,8
POP5,8
POP7,10
PPA1,3
PPA2,13
PPAN,8
PPARGC1B,8
PPIA,13
PPIE,5
PPIH,11
PPIL1,11
PPIL2,13
PPIL4,5
PPME1,11
PPP1CB,13
PPP1R11,6
PPP1R12A,8
PPP1R15B,6
PPP1R2,11
PPP1R37,7
PPP1R8,11
PPP2CA,9
PPP2CB,7
PPP2R1A,10
PPP2R3C,7
PPP4C,11
PPP4R2,6
PPP6C,11
PPRC1,9
PPWD1,6
PRC1,13
PRDM4,4
PREB,15
PRELID1,6
PRELID3B,6
PRIM1,8
PRIM2,8
PRKCA,3
PRKRA,8
PRMT1,5
PRMT5,5
PRORP,7
PRPF18,5
PRPF19,5
PRPF3,5
PRPF31,5
PRPF38A,5
PRPF39,11
PRPF4,5
PRPF40A,5
PRPF4B,5
PRPF8,5
PRRC2A,7
PRXL2A,8
PSAT1,13
PSMA3,8
PSMA4,8
PSMB1,8
PSMB2,8
PSMB3,8
PSMB5,8
PSMB6,8
PSMC1,8
PSMC2,8
PSMC3,8
PSMC4,8
PSMC5,8
PSMD11,8
PSMD13,8
PSMD14,8
PSMD2,8
PSMD4,8
PSMD9,1
PSME1,3
PSME2,2
PSMG1,3
PSMG2,8
PSMG3,11
PSMG4,9
PSTK,8
PTBP1,15
PTCD1,9
PTCD3,8
PTEN,1
PTGR2,11
PTK2,2
PTMA,8
PTPMT1,7
PTPN1,13
PTPN11,1
PTPN23,14
PUF60,13
PUM1,10
PWP1,8
PXN,3
PYROXD1,6
PYURF,6
QARS,6
QRSL1,3
RAB18,5
RAB4A,6
RAB4B,15
RAB6A,14
RABGGTA,8
RABGGTB,8
RAC1,15
RAC3,8
RACGAP1,8
RACK1,8
RAD17,15
RAD21,8
RAD51,14
RAD51C,14
RAD51D,13
RAD9A,13
RAE1,8
RAMAC,9
RAN,5
RANBP2,5
RANGAP1,5
RARS,6
RARS2,4
RBBP4,11
RBBP5,14
RBBP6,11
RBBP8,14
RBM10,15
RBM12,11
RBM14,14
RBM15,1
RBM17,6
RBM19,8
RBM25,5
RBM28,8
RBM33,13
RBM39,5
RBM4,11
RBM42,5
RBM48,5
RBMX,15
RBMX2,5
RBMXL1,13
RBX1,8
RCC1,5
RCCD1,7
RCL1,8
RCOR1,1
RELL2,6
REV3L,12
REXO2,7
RFC2,8
RFC3,8
RFC4,8
RFC5,8
RFT1,12
RHOQ,13
RHPN1,11
RINT1,15
RIOK1,8
RIOK2,8
RMI1,1
RNASEH2C,2
RNF103,11
RNF113A,5
RNF123,13
RNF14,13
RNF168,8
RNF20,10
RNF31,8
RNF40,11
RNF8,13
RNGTT,9
RNMT,9
RNPC3,5
ROMO1,6
RPA1,8
RPA2,8
RPA3,8
RPAIN,8
RPAP1,10
RPAP2,10
RPAP3,10
RPE,11
RPF1,8
RPF2,8
RPIA,7
RPL10,6
RPL10A,8
RPL11,6
RPL12,8
RPL13,8
RPL14,8
RPL15,8
RPL17,8
RPL18,8
RPL18A,8
RPL19,8
RPL23,8
RPL23A,8
RPL24,6
RPL26,8
RPL26L1,8
RPL27,8
RPL27A,8
RPL28,8
RPL29,8
RPL30,8
RPL31,8
RPL32,8
RPL34,8
RPL35,8
RPL35A,8
RPL36,8
RPL36A,8
RPL36AL,8
RPL37,8
RPL37A,8
RPL38,8
RPL39,8
RPL4,8
RPL41,12
RPL5,6
RPL6,8
RPL7,8
RPL7L1,8
RPL8,8
RPL9,8
RPLP0,8
RPLP2,8
RPN1,12
RPN2,1
RPP14,8
RPP21,6
RPP30,8
RPP38,8
RPP40,8
RPRD1B,15
RPS10,8
RPS11,8
RPS12,8
RPS13,8
RPS14,8
RPS15,8
RPS15A,8
RPS16,8
RPS17,8
RPS18,8
RPS19,8
RPS19BP1,8
RPS2,8
RPS20,8
RPS21,8
RPS23,8
RPS24,8
RPS25,8
RPS26,8
RPS27,8
RPS27A,8
RPS28,8
RPS3,8
RPS3A,8
RPS4X,8
RPS5,8
RPS6,8
RPS7,8
RPS8,8
RPS9,8
RPSA,8
RPTOR,7
RPUSD3,4
RPUSD4,4
RRM1,15
RRM2,15
RRN3,8
RRP1,8
RRP12,8
RRP15,8
RRP7A,8
RRP9,8
RRS1,8
RSL24D1,8
RSRC2,11
RTCB,6
RTEL1,11
RTF1,6
RTRAF,6
RTTN,11
RUVBL1,5
RUVBL2,5
S100A1,12
SACM1L,15
SAE1,11
SAMD4B,6
SAMM50,6
SAP130,14
SAP18,9
SAP30BP,5
SARNP,11
SARS2,1
SART1,5
SART3,5
SASS6,15
SBDS,6
SBNO1,9
SCAF1,15
SCAP,13
SCD,12
SCFD1,6
SCNM1,13
SDAD1,8
SDC1,8
SDE2,3
SDHA,13
SDHAF2,13
SDHC,15
SDR39U1,8
SEC13,5
SEC16A,13
SEC61B,15
SEC61G,6
SEC62,8
SEC63,1
SEH1L,7
SEM1,5
SENP6,13
SEPHS2,8
SEPSECS,11
SERBP1,12
SERF2,14
SERPINB1,6
SET,8
SETD1A,6
SETD2,12
SETD5,8
SETDB1,3
SETX,11
SF3B2,5
SF3B3,5
SF3B4,5
SF3B5,5
SFPQ,6
SFSWAP,6
SGPP1,3
SHC1,2
SHOC2,11
SHQ1,8
SIRT7,7
SKA1,12
SKA3,4
SKP1,11
SKP2,13
SLBP,15
SLC16A5,8
SLC1A5,13
SLC25A3,3
SLC25A42,6
SLC2A8,15
SLC35A4,15
SLC35B1,12
SLC35G2,11
SLC39A10,11
SLC39A7,15
SLC39A9,3
SLC7A5,13
SLC7A6OS,3
SLU7,5
SMAGP,11
SMARCC1,4
SMARCE1,11
SMC1A,8
SMC2,8
SMC3,8
SMC5,13
SMC6,8
SMG5,6
SMG6,6
SMG7,6
SMG8,6
SMG9,6
SMN2,5
SMNDC1,5
SMU1,5
SMUG1,8
SNAPC1,5
SNAPC2,5
SNAPC3,5
SNAPC5,5
SNF8,1
SNIP1,5
SNRNP200,5
SNRNP25,14
SNRNP27,5
SNRNP35,13
SNRNP40,11
SNRNP48,5
SNRNP70,5
SNRPA,6
SNRPA1,5
SNRPB,5
SNRPC,5
SNRPD1,5
SNRPD3,5
SNRPE,5
SNRPF,5
SNRPG,5
SNTB2,7
SNUPN,3
SNX15,2
SOD1,11
SOD2,13
SP1,13
SP2,11
SPAG7,11
SPATA5,8
SPATA5L1,8
SPC24,8
SPC25,8
SPCS2,15
SPCS3,12
SPDL1,11
SPEN,7
SPG7,12
SPOUT1,8
SPRTN,13
SPTLC1,12
SPTSSA,12
SRA1,13
SRBD1,8
SRF,14
SRFBP1,8
SRP14,11
SRP19,6
SRP54,6
SRP68,6
SRP72,6
SRP9,11
SRPRB,11
SRRM1,5
SRRM2,15
SRRT,10
SRSF1,10
SRSF10,14
SRSF6,13
SRSF7,11
SS18L2,13
SSBP1,7
SSBP3,13
SSRP1,8
SSU72,5
STAG2,7
STARD7,6
STAT5A,8
STAT5B,6
STIL,8
STRAP,6
STRIP1,13
STT3B,13
STX18,15
STX5,8
STXBP4,11
SUDS3,1
SUGP1,3
SUGT1,8
SUMO2,3
SUPT16H,8
SUPT20H,15
SUPT4H1,8
SUPT5H,10
SUPT6H,10
SUPV3L1,7
SURF6,8
SYF2,5
SYMPK,8
SYS1,8
TACC3,11
TADA1,11
TADA2A,9
TADA2B,15
TADA3,8
TAF1,10
TAF10,10
TAF11,10
TAF12,8
TAF13,10
TAF1A,8
TAF1B,8
TAF1C,8
TAF1D,8
TAF2,10
TAF3,10
TAF5,10
TAF6,10
TAF6L,13
TAF7,10
TAF8,10
TAMM41,6
TARDBP,5
TARS,6
TARS2,4
TAZ,6
TBCA,3
TBCB,5
TBCC,13
TBCD,3
TBL3,8
TBP,10
TBPL1,13
TCERG1,11
TCOF1,8
TCP1,8
TEAD3,2
TEFM,7
TELO2,8
TEN1,1
TERF1,12
TERF2,6
TEX10,8
TFAM,7
TFB1M,2
TFB2M,13
TFDP1,8
TFIP11,5
TFRC,2
TGS1,11
THAP1,8
THAP11,13
THG1L,6
THOC1,5
THOC2,5
THOC3,5
THOC5,5
THOC6,3
THOC7,5
THRAP3,3
THUMPD1,8
TICRR,15
TIGD1,3
TIMELESS,14
TIMM10,8
TIMM13,6
TIMM22,6
TIMM23B,6
TIMM44,6
TIMM8A,2
TIMM9,8
TINF2,15
TIPIN,8
TKT,2
TLCD1,11
TLN1,14
TM7SF2,13
TMA16,8
TMED10,13
TMED2,13
TMEM127,12
TMEM161B,3
TMEM199,8
TMEM214,3
TMEM242,7
TMEM258,12
TMSB10,14
TMX2,10
TNPO3,5
TNRC6A,11
TOE1,3
TOMM20,7
TOMM22,7
TOMM40,7
TOP1,8
TOP2A,8
TOP3A,8
TOPBP1,15
TOR2A,12
TOX4,10
TP53I13,4
TP53RK,6
TPI1,11
TPP2,8
TPR,5
TPRKB,6
TPT1,15
TPX2,15
TRA2B,1
TRAIP,11
TRAPPC1,8
TRAPPC11,8
TRAPPC3,8
TRAPPC4,13
TRAPPC5,8
TRAPPC8,8
TRIAP1,8
TRMT10C,7
TRMT112,8
TRMT5,6
TRMT6,6
TRNP1,13
TRNT1,6
TRPM7,13
TRRAP,8
